Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,1,1.0,0.0
2,2,2,0,1,1.0,0.0
3,3,3,0,1,1.0,0.0
4,4,4,0,3,1.0,0.0
5,5,5,0,4,1.0,0.0
6,6,6,0,4,1.0,0.0
7,7,7,0,4,1.0,0.0
8,8,8,0,6,1.0,0.0
9,9,9,0,6,1.0,0.0
10,10,10,0,5,1.0,0.0
11,11,11,0,3,1.0,0.0
12,12,12,0,6,1.0,0.0
13,13,13,0,4,1.0,0.0
14,14,14,0,6,1.0,0.0
15,15,15,0,4,1.0,0.0
16,16,16,0,4,1.0,0.0
17,17,17,0,4,1.0,0.0
18,18,18,0,3,1.0,0.0
19,19,19,0,4,1.0,0.0
20,20,20,0,6,1.0,0.0
21,21,21,0,4,1.0,0.0
22,22,22,0,5,1.0,0.0
23,23,23,0,2,1.0,0.0
24,24,24,0,1,1.0,0.0
25,25,25,0,1,1.0,0.0
26,26,26,4,7,2.0,1.0
27,27,27,3,7,2.6666666666666665,2.0
28,28,28,2,7,2.0,1.0
29,29,29,3,5,3.666666666666667,2.0
30,30,30,1,7,3.0,2.0
31,31,31,1,5,2.0,1.0
32,32,32,2,5,3.25,2.0
33,33,33,2,5,3.8,3.0
34,34,34,4,9,3.6,3.0
35,35,35,2,6,4.333333333333334,4.0
36,36,36,5,5,2.0,1.0
37,37,37,1,5,4.5,4.0
38,38,38,1,2,5.5,5.0
39,39,39,4,2,4.090909090909091,3.0
40,40,40,2,3,4.8,5.0
41,41,41,2,4,5.0,4.0
42,42,42,1,5,4.0,3.0
43,43,43,1,4,2.0,1.0
44,44,44,2,5,2.8333333333333335,2.0
45,45,45,2,5,3.333333333333333,3.0
46,46,46,2,4,4.0,4.0
47,47,47,3,4,3.9,5.0
48,48,48,1,4,4.5,4.0
49,49,49,2,4,2.0,1.0
50,50,50,7,5,4.666666666666666,4.0
51,51,51,9,5,4.346153846153847,3.0
52,52,52,3,5,3.909090909090909,4.0
53,53,53,9,7,4.481481481481481,4.0
54,54,54,3,8,5.461538461538462,5.0
55,55,55,10,7,4.583333333333334,3.0
56,56,56,1,6,5.5,5.0
57,57,57,6,6,2.8333333333333335,1.0
58,58,58,7,5,3.9411764705882355,3.0
59,59,59,12,5,4.5813953488372094,4.0
60,60,60,11,4,4.5432098765432105,3.0
61,61,61,1,3,4.5,4.0
62,62,62,10,1,4.7,4.0
63,63,63,9,1,3.9545454545454546,4.0
64,64,64,10,0,4.355263157894736,4.0
65,65,65,13,0,4.465116279069767,4.0
66,66,66,3,0,4.666666666666666,4.0
67,67,67,15,0,4.653061224489796,3.0
68,68,68,1,1,4.4,5.0
69,69,69,2,1,4.277777777777778,5.0
70,70,70,3,1,3.2,2.0
71,71,71,13,1,4.40625,4.0
72,72,72,7,1,2.769230769230769,1.0
73,73,73,16,1,4.4523809523809526,3.0
74,74,74,4,1,4.1875,4.0
75,75,75,4,1,5.133333333333333,4.0
76,76,76,1,1,2.0,1.0
77,77,77,1,1,4.0,3.0
78,78,78,1,2,3.0,2.0
79,79,79,1,2,2.0,1.0
80,80,80,3,2,4.727272727272727,4.0
81,81,81,18,1,4.388888888888889,3.0
82,82,82,18,1,3.6956521739130435,2.0
83,83,83,9,1,4.2,4.0
84,84,84,1,0,3.0,2.0
85,85,85,3,0,4.5,5.0
