Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,2,1.0,0.0
2,2,2,0,3,1.0,0.0
3,3,3,0,4,1.0,0.0
4,4,4,0,4,1.0,0.0
5,5,5,0,4,1.0,0.0
6,6,6,0,3,1.0,0.0
7,7,7,0,6,1.0,0.0
8,8,8,0,7,1.0,0.0
9,9,9,0,7,1.0,0.0
10,10,10,0,8,1.0,0.0
11,11,11,0,10,1.0,0.0
12,12,12,0,6,1.0,0.0
13,13,13,0,3,1.0,0.0
14,14,14,0,6,1.0,0.0
15,15,15,0,6,1.0,0.0
16,16,16,0,5,1.0,0.0
17,17,17,0,4,1.0,0.0
18,18,18,0,7,1.0,0.0
19,19,19,0,7,1.0,0.0
20,20,20,0,1,1.0,0.0
21,21,21,1,2,2.0,1.0
22,22,22,1,4,2.0,1.0
23,23,23,1,5,2.0,1.0
24,24,24,4,9,2.25,2.0
25,25,25,1,13,2.0,1.0
26,26,26,2,13,2.5,2.0
27,27,27,2,14,3.333333333333333,3.0
28,28,28,4,8,4.0,3.0
29,29,29,6,5,2.6666666666666665,2.0
30,30,30,4,3,2.25,2.0
31,31,31,1,3,2.0,1.0
32,32,32,3,5,3.833333333333333,3.0
33,33,33,2,6,2.5,2.0
34,34,34,1,6,4.333333333333334,4.0
35,35,35,4,4,4.0,3.0
36,36,36,1,4,3.0,2.0
37,37,37,2,5,2.5,1.0
38,38,38,5,9,3.4545454545454546,3.0
39,39,39,2,8,3.0,3.0
40,40,40,6,8,3.333333333333333,3.0
41,41,41,2,8,2.5,1.0
42,42,42,5,7,4.148148148148149,4.0
43,43,43,5,7,4.111111111111111,4.0
44,44,44,1,6,4.0,4.0
45,45,45,5,6,3.7894736842105265,4.0
46,46,46,9,6,3.458333333333333,3.0
47,47,47,10,5,3.2777777777777777,3.0
48,48,48,19,6,3.4523809523809526,3.0
49,49,49,3,6,3.583333333333333,3.0
50,50,50,10,7,4.3106060606060606,4.0
51,51,51,5,8,4.0,3.0
52,52,52,6,7,4.265822784810126,4.0
53,53,53,8,8,4.243243243243244,4.0
54,54,54,6,5,4.571428571428571,4.0
55,55,55,11,4,4.333333333333334,4.0
56,56,56,1,2,4.384615384615385,5.0
57,57,57,11,1,3.782608695652174,3.0
58,58,58,1,1,2.0,1.0
59,59,59,9,1,3.5,3.0
60,60,60,2,1,2.5,2.0
61,61,61,10,1,2.4615384615384617,2.0
62,62,62,4,1,3.833333333333333,4.0
63,63,63,5,1,3.7894736842105265,4.0
64,64,64,10,1,3.0625,2.0
65,65,65,4,1,4.52,5.0
66,66,66,25,1,4.39622641509434,3.0
67,67,67,2,1,4.451612903225806,5.0
68,68,68,9,1,3.875,3.0
69,69,69,8,1,2.5454545454545454,2.0
70,70,70,5,1,4.0,3.0
71,71,71,1,1,2.0,1.0
72,72,72,17,2,4.423280423280423,4.0
73,73,73,4,2,3.7333333333333334,3.0
74,74,74,3,2,3.666666666666667,4.0
75,75,75,3,1,3.833333333333333,3.0
76,76,76,5,1,4.631578947368421,4.0
77,77,77,16,0,4.133858267716535,4.0
78,78,78,5,0,2.2,2.0
79,79,79,1,0,4.333333333333334,4.0
80,80,80,9,0,3.0666666666666664,3.0
81,81,81,16,0,4.133858267716535,4.0
82,82,82,3,0,3.833333333333333,3.0
83,83,83,11,0,4.205882352941177,4.0
