Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,5,1.0,0.0
2,2,2,0,7,1.0,0.0
3,3,3,0,5,1.0,0.0
4,4,4,0,6,1.0,0.0
5,5,5,0,4,1.0,0.0
6,6,6,0,3,1.0,0.0
7,7,7,0,3,1.0,0.0
8,8,8,0,3,1.0,0.0
9,9,9,0,3,1.0,0.0
10,10,10,0,8,1.0,0.0
11,11,11,0,8,1.0,0.0
12,12,12,0,9,1.0,0.0
13,13,13,0,3,1.0,0.0
14,14,14,0,4,1.0,0.0
15,15,15,0,2,1.0,0.0
16,16,16,0,2,1.0,0.0
17,17,17,0,3,1.0,0.0
18,18,18,0,5,1.0,0.0
19,19,19,0,5,1.0,0.0
20,20,20,0,6,1.0,0.0
21,21,21,0,3,1.0,0.0
22,22,22,0,3,1.0,0.0
23,23,23,0,2,1.0,0.0
24,24,24,0,2,1.0,0.0
25,25,25,0,2,1.0,0.0
26,26,26,2,7,2.5,1.0
27,27,27,2,5,2.5,1.0
28,28,28,2,6,2.5,2.0
29,29,29,2,6,2.5,1.0
30,30,30,1,7,2.0,1.0
31,31,31,2,9,2.5,1.0
32,32,32,2,8,2.5,2.0
33,33,33,2,9,2.5,2.0
34,34,34,3,8,2.3333333333333335,2.0
35,35,35,2,2,2.5,2.0
36,36,36,1,3,2.0,1.0
37,37,37,1,4,2.0,1.0
38,38,38,2,2,2.5,1.0
39,39,39,1,2,3.5,3.0
40,40,40,3,3,2.0,1.0
41,41,41,2,4,3.0,2.0
42,42,42,1,4,2.0,1.0
43,43,43,1,4,3.5,3.0
44,44,44,1,4,2.0,1.0
45,45,45,3,1,3.75,4.0
46,46,46,1,1,3.0,2.0
47,47,47,4,1,3.25,3.0
48,48,48,8,2,3.0,3.0
49,49,49,2,4,3.333333333333333,3.0
50,50,50,3,4,2.3333333333333335,2.0
51,51,51,5,3,2.4,1.0
52,52,52,3,1,2.3333333333333335,2.0
53,53,53,1,1,2.0,1.0
54,54,54,1,3,3.0,2.0
55,55,55,5,4,2.8333333333333335,1.0
56,56,56,5,4,2.4,1.0
57,57,57,3,3,3.166666666666667,3.0
58,58,58,2,3,2.5,2.0
59,59,59,15,3,3.4,3.0
60,60,60,2,3,3.833333333333333,3.0
61,61,61,1,3,2.0,1.0
62,62,62,3,3,3.5555555555555554,3.0
63,63,63,10,4,2.857142857142857,3.0
64,64,64,10,5,3.8157894736842106,3.0
65,65,65,8,6,3.0,3.0
66,66,66,7,3,4.045454545454545,4.0
67,67,67,3,3,3.166666666666667,3.0
68,68,68,15,3,3.816901408450704,3.0
69,69,69,10,2,3.9833333333333334,4.0
70,70,70,6,2,3.4444444444444446,3.0
71,71,71,13,2,3.3181818181818183,3.0
72,72,72,9,2,4.046875,4.0
73,73,73,6,2,2.571428571428571,2.0
74,74,74,4,2,3.375,3.0
75,75,75,11,2,4.045871559633028,3.0
76,76,76,4,2,3.166666666666667,3.0
77,77,77,20,2,3.7375,3.0
78,78,78,1,2,3.5,3.0
79,79,79,4,0,2.5,1.0
80,80,80,4,0,3.0,2.0
81,81,81,6,0,3.8235294117647056,4.0
82,82,82,16,0,2.761904761904762,2.0
83,83,83,24,0,4.030150753768844,3.0
84,84,84,3,0,3.75,4.0
