Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,1,1.0,0.0
2,2,2,0,4,1.0,0.0
3,3,3,0,3,1.0,0.0
4,4,4,0,5,1.0,0.0
5,5,5,0,7,1.0,0.0
6,6,6,0,7,1.0,0.0
7,7,7,0,8,1.0,0.0
8,8,8,0,8,1.0,0.0
9,9,9,0,6,1.0,0.0
10,10,10,0,4,1.0,0.0
11,11,11,0,4,1.0,0.0
12,12,12,0,6,1.0,0.0
13,13,13,0,5,1.0,0.0
14,14,14,0,4,1.0,0.0
15,15,15,0,1,1.0,0.0
16,16,16,0,1,1.0,0.0
17,17,17,0,1,1.0,0.0
18,18,18,0,1,1.0,0.0
19,19,19,0,3,1.0,0.0
20,20,20,0,4,1.0,0.0
21,21,21,0,4,1.0,0.0
22,22,22,0,4,1.0,0.0
23,23,23,0,5,1.0,0.0
24,24,24,0,2,1.0,0.0
25,25,25,0,4,1.0,0.0
26,26,26,0,1,1.0,0.0
27,27,27,0,3,1.0,0.0
28,28,28,0,1,1.0,0.0
29,29,29,1,6,2.0,1.0
30,30,30,1,6,2.0,1.0
31,31,31,4,6,2.25,2.0
32,32,32,2,5,2.0,1.0
33,33,33,2,2,2.0,1.0
34,34,34,2,1,2.5,2.0
35,35,35,1,3,3.0,2.0
36,36,36,3,4,2.0,1.0
37,37,37,5,4,2.2,1.0
38,38,38,4,4,2.4,2.0
39,39,39,2,4,2.0,1.0
40,40,40,3,4,2.0,1.0
41,41,41,6,3,2.1666666666666665,1.0
42,42,42,2,3,3.2,2.0
43,43,43,2,0,2.0,1.0
44,44,44,2,3,2.0,1.0
45,45,45,1,4,2.0,1.0
46,46,46,3,4,2.5,2.0
47,47,47,11,4,2.9583333333333335,3.0
48,48,48,9,4,4.0,4.0
49,49,49,3,4,2.3333333333333335,2.0
50,50,50,8,3,4.015151515151516,4.0
51,51,51,1,3,2.0,1.0
52,52,52,1,1,2.0,1.0
53,53,53,1,0,2.0,1.0
54,54,54,10,3,3.9850746268656714,4.0
55,55,55,2,2,3.2,2.0
56,56,56,2,1,2.0,1.0
57,57,57,1,1,3.0,2.0
58,58,58,2,1,3.4444444444444446,2.0
59,59,59,2,3,4.25,5.0
60,60,60,7,4,2.25,2.0
61,61,61,4,2,4.148148148148149,5.0
62,62,62,3,1,4.846153846153847,6.0
63,63,63,12,1,3.032258064516129,2.0
64,64,64,13,1,4.604651162790698,4.0
65,65,65,2,1,2.6666666666666665,2.0
66,66,66,1,1,4.3,5.0
67,67,67,3,1,4.551724137931035,5.0
68,68,68,6,1,2.1666666666666665,2.0
69,69,69,2,1,2.75,2.0
70,70,70,1,1,3.25,3.0
71,71,71,7,1,3.872340425531915,4.0
72,72,72,4,0,4.775510204081632,5.0
73,73,73,25,0,2.7857142857142856,2.0
74,74,74,5,0,2.75,2.0
75,75,75,8,0,2.5454545454545454,2.0
76,76,76,14,0,3.0588235294117645,3.0
77,77,77,3,0,3.0,2.0
