Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,2,1.0,0.0
2,2,2,0,5,1.0,0.0
3,3,3,0,4,1.0,0.0
4,4,4,0,8,1.0,0.0
5,5,5,0,3,1.0,0.0
6,6,6,0,5,1.0,0.0
7,7,7,0,3,1.0,0.0
8,8,8,0,3,1.0,0.0
9,9,9,0,3,1.0,0.0
10,10,10,0,3,1.0,0.0
11,11,11,0,2,1.0,0.0
12,12,12,0,1,1.0,0.0
13,13,13,0,2,1.0,0.0
14,14,14,0,3,1.0,0.0
15,15,15,0,6,1.0,0.0
16,16,16,0,6,1.0,0.0
17,17,17,0,6,1.0,0.0
18,18,18,0,5,1.0,0.0
19,19,19,0,4,1.0,0.0
20,20,20,0,2,1.0,0.0
21,21,21,0,2,1.0,0.0
22,22,22,0,1,1.0,0.0
23,23,23,0,1,1.0,0.0
24,24,24,0,1,1.0,0.0
25,25,25,1,4,2.0,1.0
26,26,26,2,8,2.5,1.0
27,27,27,2,6,2.5,1.0
28,28,28,2,6,2.5,2.0
29,29,29,2,4,2.5,1.0
30,30,30,1,3,2.0,1.0
31,31,31,2,1,3.333333333333333,3.0
32,32,32,2,1,2.0,1.0
33,33,33,2,2,2.0,1.0
34,34,34,3,2,2.0,1.0
35,35,35,2,2,2.5,2.0
36,36,36,5,2,3.0,3.0
37,37,37,3,3,2.3333333333333335,1.0
38,38,38,3,6,3.0,3.0
39,39,39,1,6,2.0,1.0
40,40,40,1,6,3.0,2.0
41,41,41,4,4,2.5,2.0
42,42,42,4,3,2.25,2.0
43,43,43,1,2,2.0,1.0
44,44,44,1,5,2.0,1.0
45,45,45,3,5,3.0,2.0
46,46,46,2,4,2.5,1.0
47,47,47,2,4,2.0,1.0
48,48,48,1,3,3.0,2.0
49,49,49,4,4,2.8,2.0
50,50,50,6,5,3.3,3.0
51,51,51,2,5,3.0,2.0
52,52,52,2,2,3.333333333333333,3.0
53,53,53,3,2,3.857142857142857,4.0
54,54,54,6,2,3.466666666666667,3.0
55,55,55,16,2,3.185185185185185,3.0
56,56,56,1,2,2.0,1.0
57,57,57,1,2,4.0,3.0
58,58,58,11,2,4.1866666666666665,4.0
59,59,59,4,3,2.8,2.0
60,60,60,2,2,3.333333333333333,3.0
61,61,61,9,1,3.45,4.0
62,62,62,2,1,3.75,4.0
63,63,63,1,2,2.0,1.0
64,64,64,1,1,3.0,2.0
65,65,65,1,1,3.333333333333333,3.0
66,66,66,8,1,3.1538461538461537,3.0
67,67,67,14,1,3.2222222222222223,3.0
68,68,68,4,1,4.232558139534884,4.0
69,69,69,2,1,3.2857142857142856,3.0
70,70,70,11,0,2.5833333333333335,3.0
71,71,71,5,0,3.666666666666667,4.0
72,72,72,7,0,2.4285714285714284,1.0
73,73,73,12,0,4.178082191780822,4.0
74,74,74,1,0,3.0,2.0
75,75,75,3,1,3.857142857142857,4.0
76,76,76,2,0,2.0,1.0
77,77,77,1,0,4.727272727272727,5.0
78,78,78,13,0,3.208333333333333,3.0
79,79,79,10,0,4.0,4.0
