Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,3,1.0,0.0
2,2,2,0,10,1.0,0.0
3,3,3,0,7,1.0,0.0
4,4,4,0,8,1.0,0.0
5,5,5,0,4,1.0,0.0
6,6,6,0,4,1.0,0.0
7,7,7,0,7,1.0,0.0
8,8,8,0,7,1.0,0.0
9,9,9,0,2,1.0,0.0
10,10,10,0,4,1.0,0.0
11,11,11,0,2,1.0,0.0
12,12,12,0,4,1.0,0.0
13,13,13,0,5,1.0,0.0
14,14,14,0,5,1.0,0.0
15,15,15,0,5,1.0,0.0
16,16,16,0,9,1.0,0.0
17,17,17,0,7,1.0,0.0
18,18,18,0,6,1.0,0.0
19,19,19,0,3,1.0,0.0
20,20,20,0,2,1.0,0.0
21,21,21,1,4,2.0,1.0
22,22,22,3,3,2.0,1.0
23,23,23,4,2,2.0,1.0
24,24,24,1,4,2.0,1.0
25,25,25,6,5,2.0,1.0
26,26,26,3,4,2.3333333333333335,2.0
27,27,27,3,5,2.0,1.0
28,28,28,6,4,2.0,1.0
29,29,29,1,4,2.0,1.0
30,30,30,2,3,2.5,2.0
31,31,31,1,4,2.0,1.0
32,32,32,2,9,2.0,1.0
33,33,33,12,10,2.903225806451613,2.0
34,34,34,5,8,2.928571428571429,3.0
35,35,35,5,8,2.0,1.0
36,36,36,2,8,2.5,2.0
37,37,37,1,9,3.0,2.0
38,38,38,5,7,3.4210526315789473,3.0
39,39,39,3,2,2.0,1.0
40,40,40,2,2,4.1764705882352935,4.0
41,41,41,10,2,2.96,2.0
42,42,42,15,2,3.4210526315789473,3.0
43,43,43,1,4,2.0,1.0
44,44,44,1,4,2.0,1.0
45,45,45,5,4,3.4210526315789473,3.0
46,46,46,2,4,4.1764705882352935,4.0
47,47,47,1,2,2.0,1.0
48,48,48,8,2,2.6923076923076925,2.0
49,49,49,1,4,2.0,1.0
50,50,50,3,3,2.0,1.0
51,51,51,2,3,2.0,1.0
52,52,52,5,3,4.611111111111111,4.0
53,53,53,2,4,4.1764705882352935,4.0
54,54,54,4,5,4.657142857142857,4.0
55,55,55,1,5,4.0,3.0
56,56,56,1,4,2.0,1.0
57,57,57,7,4,4.52,4.0
58,58,58,7,4,3.6341463414634143,3.0
59,59,59,10,4,3.7627118644067794,3.0
60,60,60,12,2,4.691588785046729,4.0
61,61,61,13,2,3.1904761904761907,3.0
62,62,62,4,2,4.333333333333334,4.0
63,63,63,1,2,2.0,1.0
64,64,64,8,2,4.641304347826087,4.0
65,65,65,7,2,3.8545454545454545,3.0
66,66,66,1,2,2.0,1.0
67,67,67,9,2,4.815384615384616,5.0
68,68,68,4,1,3.708333333333333,3.0
69,69,69,12,2,4.065217391304348,3.0
70,70,70,7,2,3.6341463414634143,3.0
71,71,71,8,1,4.416666666666666,3.0
72,72,72,3,2,3.5294117647058822,3.0
73,73,73,3,2,4.359999999999999,4.0
74,74,74,3,3,4.916666666666666,5.0
75,75,75,13,3,4.375,3.0
76,76,76,8,3,4.65,4.0
77,77,77,2,1,3.5,3.0
78,78,78,5,2,4.8791208791208796,4.0
79,79,79,5,1,4.943181818181818,4.0
80,80,80,3,1,4.130434782608695,4.0
81,81,81,6,1,4.731707317073171,5.0
82,82,82,6,0,3.571428571428571,3.0
83,83,83,4,0,5.12,4.0
84,84,84,3,0,2.8,2.0
85,85,85,3,0,2.0,1.0
86,86,86,10,0,4.458715596330276,3.0
