Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,3,1.0,0.0
2,2,2,0,3,1.0,0.0
3,3,3,0,8,1.0,0.0
4,4,4,0,1,1.0,0.0
5,5,5,0,1,1.0,0.0
6,6,6,1,5,2.0,1.0
7,7,7,3,9,3.5,3.0
8,8,8,1,9,3.0,2.0
9,9,9,3,3,3.5,3.0
10,10,10,4,0,3.666666666666667,3.0
11,11,11,3,1,3.5,3.0
12,12,12,3,1,3.5,3.0
13,13,13,3,2,2.3333333333333335,1.0
14,14,14,3,1,2.3333333333333335,1.0
15,15,15,4,5,3.666666666666667,3.0
16,16,16,2,4,2.5,2.0
17,17,17,3,4,3.5,3.0
18,18,18,3,5,4.0,3.0
19,19,19,5,5,3.25,2.0
20,20,20,2,3,3.75,3.0
21,21,21,5,2,4.25,3.0
22,22,22,3,1,4.0,3.0
23,23,23,8,2,3.8260869565217392,2.0
24,24,24,5,2,3.9375,3.0
25,25,25,6,2,4.592592592592593,3.0
26,26,26,4,2,4.882352941176471,4.0
27,27,27,4,2,3.4,2.0
28,28,28,2,2,4.1,3.0
29,29,29,1,0,4.0,4.0
30,30,30,7,0,4.125,3.0
